id,YEAR,MAKE,MODEL,DESCRIPTION,DEPT,SALE_PRICE,SALE_DATE,SOLD_BY
44568,2004,CHEVROLET,COLORADO 4X4,COMPACT PICKUP - 4X4,SPU,9255,,BIDADOO ONLINE AUCTION
44585,2004,JEEP,LIBERTY,COMPACT SUV - 4X4,SPU,7350,,BIDADOO ONLINE AUCTION
44591,2004,FORD,F250,PICKUP - 4X4,SPU,9100,,BIDADOO ONLINE AUCTION
44605,2004,FORD,F350,PICKUP - CREW CAB - 4X4,SPU,10400,,BIDADOO ONLINE AUCTION
44630,2004,FORD,F250,PICKUP - 4X4,SPU,6150,,MURPHYS AUCTION
44667,2004,FORD,F350,PICKUP - SERVICE BODY,SPU,17500,,MURPHYS AUCTION
44668,2004,FORD,F250,PICKUP - 4X4,SPU,8600,,BIDADOO ONLINE AUCTION
45367,2004,FORD,E450,MEDIC AID VAN - 2ND  REMOUNT - A/M-86,SFD,6253.51,,BIDADOO ONLINE AUCTION
45521,2004,PETERBILT,320,TRUCK - EDUCTOR - VAC CON,SPU,57500,,MURPHYS AUCTION
45650,2004,CASE,590M,BACKHOE LOADER - 19500 LB - BREAKER,SDOT,25825,,BIDADOO ONLINE AUCTION
45651,2004,CASE,590M,BACKHOE LOADER - 15200 LB - BREAKER,SDOT,23700,,MURPHYS AUCTION
45671,2004,AMERICAN TRUCK BODIES,TRIPLE AXLE PUP DUMP,TRAILER - PUP DUMP,SDOT,11000,,BIDADOO ONLINE AUCTION
45673,2004,AMERICAN TRUCK BODIES,TRIPLE AXLE PUP DUMP,TRAILER - PUP DUMP,SDOT,13122,,BIDADOO ONLINE AUCTION
45674,2004,AMERICAN TRUCK BODIES,TRIPLE AXLE PUP DUMP,TRAILER - PUP DUMP,SDOT,13469,,BIDADOO ONLINE AUCTION
45675,2004,TORO,DINGO 320D,COMPACT UTILITY LOADER - TRENCHER,SDOT,4600,,MURPHYS AUCTION
45688,2004,AMERICAN TRUCK BODIES,TRIPLE AXLE PUP DUMP,TRAILER - PUP DUMP,SDOT,14550,,BIDADOO ONLINE AUCTION
45724,2004,PETERBILT,320,TRUCK - EDUCTOR - VAC CON,SPU,55000,,MURPHYS AUCTION
45804,2004,GMC,WT5500,TRUCK - BOOK DELIVERY - CLASS 5,SPL,13000,,BIDADOO ONLINE AUCTION
45805,2004,GMC,WT5500,TRUCK - BOOK DELIVERY - CLASS 5,SPL,15100,,BIDADOO ONLINE AUCTION
45807,2004,GMC,WT5500,TRUCK - BOOK DELIVERY - CLASS 5,SPL,17900,,BIDADOO ONLINE AUCTION
45885,2004,GMC,WT5500,TRUCK - REFUSE PACKER - CLASS 6,DPR,33500,,BIDADOO ONLINE AUCTION
45964,2004,GMC,WT5500,TRUCK - REFUSE PACKER - CLASS 6,DPR,25100,,BIDADOO ONLINE AUCTION
45969,2004,PETERBILT,335,TRUCK - EDUCTOR - VAC CON,DPR,76800,,BIDADOO ONLINE AUCTION
47002,2004,KUBOTA,L4330HST-F,TRACTOR - LOADER - BACKHOE,CEN,11500,,MURPHYS AUCTION
47127,2004,RAMMER,S25,BREAKER 500 LB,SDOT,2200,,MURPHYS AUCTION
49776,2004,FORD,CROWN VICTORIA,PATROL CAR - K9 TRAINING,SPD,1825,,BIDADOO ONLINE AUCTION
51021,2005,TOYOTA,PRIUS,COMPACT SEDAN - HYBRID,DPD,10600,,MURPHYS AUCTION
51129,2005,CHEVROLET,IMPALA,MIDSIZE SEDAN,SFD,2701,,BIDADOO ONLINE AUCTION
51136,2005,TOYOTA,PRIUS,COMPACT SEDAN - HYBRID,DPD,9000,,MURPHYS AUCTION
51161,2005,TAYLOR DUNN,SC-100-36,STOCK CHASER - ELECTRIC - 36 V,CEN,1905,,BIDADOO ONLINE AUCTION
51164,2005,TAYLOR DUNN,SC-100-36,STOCK CHASER - ELECTRIC - 36 V,CEN,1803,,BIDADOO ONLINE AUCTION
51169,2005,TOYOTA,PRIUS,COMPACT SEDAN - HYBRID,DPD,7000,,BIDADOO ONLINE AUCTION
51259,2005,FORD,FOCUS,SUBCOMPACT SEDAN,HSD,4150,,BIDADOO ONLINE AUCTION
51261,2005,FORD,FOCUS,SUBCOMPACT SEDAN,HSD,4860,,BIDADOO ONLINE AUCTION
51299,2005,TOYOTA,PRIUS,COMPACT SEDAN - HYBRID,HSD,7700,,BIDADOO ONLINE AUCTION
51309,2005,TOYOTA,PRIUS,COMPACT SEDAN - HYBRID,SDOT,6300,,MURPHYS AUCTION
51311,2005,TOYOTA,PRIUS,COMPACT SEDAN - HYBRID,DPR,8500,,BIDADOO ONLINE AUCTION
51331,2005,JEEP,LIBERTY,COMPACT SUV - 4X4,SPU,6155,,BIDADOO ONLINE AUCTION
51334,2005,TOYOTA,PRIUS,COMPACT SEDAN - HYBRID,SPU,8200,,BIDADOO ONLINE AUCTION
51359,2005,TOYOTA,PRIUS,COMPACT SEDAN - HYBRID,HSD,8700,,BIDADOO ONLINE AUCTION
51409,2005,JEEP,LIBERTY,COMPACT SUV,SPU,6100,,BIDADOO ONLINE AUCTION
51411,2005,JEEP,LIBERTY,COMPACT SUV - 4X4,SPU,5678,,BIDADOO ONLINE AUCTION
51419,2005,TOYOTA,PRIUS,COMPACT SEDAN - HYBRID,DPR,8111,,BIDADOO ONLINE AUCTION
51426,2005,JEEP,LIBERTY,COMPACT SUV,SPU,5125,,BIDADOO ONLINE AUCTION
51432,2005,TOYOTA,PRIUS,COMPACT SEDAN - HYBRID,SDOT,10111.11,,BIDADOO ONLINE AUCTION
